time,centroid_x,centroid_y,spread,polarization,mean_nn_distance,convex_hull_area,elongation_ratio,num_clusters,dog_x,dog_y,dog_vx,dog_vy,dog_speed,dog_mode,dog_submode,in_goal,alert_count,avg_sheep_speed,avg_fear_strength,avg_graze_bias,avg_reaction_delay,success
0.016666666666666666,340.38657475853535,441.82461290584234,131.09140145771227,0.0771667514096739,18.455816530561037,31490.910250970424,1.1850655110072952,1,180.0,450.0,0.0,0.0,0.0,manual,drive,0,19,63.551292600635854,1.0123155899731038,1.024259168087828,2.2888888888888888,0
0.03333333333333333,340.3903747962485,441.8272573390036,131.60265571704807,0.07999449315149246,18.830268593084515,31878.01712571073,1.1778855041326157,1,180.0,450.0,0.0,0.0,0.0,manual,drive,0,20,61.545373918414754,1.0123155899731038,1.024259168087828,2.2888888888888888,0
0.05,340.39796760706395,441.82769689858935,132.08968520018362,0.08481375364744215,19.086012921414373,32253.52619972991,1.1717568590708274,1,180.0,450.0,0.0,0.0,0.0,manual,drive,0,21,59.11617713236089,1.0123155899731038,1.024259168087828,2.2888888888888888,0
0.06666666666666667,340.41039363707273,441.8250091486332,132.55361028144188,0.07837438463043775,19.260299871900173,32617.637306391516,1.166550765305934,1,180.0,450.0,0.0,0.0,0.0,manual,drive,0,21,56.70409425423934,1.0123155899731038,1.024259168087828,2.2888888888888888,0
0.08333333333333333,340.4270377790313,441.8193646328584,132.9941079377612,0.07836517289291749,19.438680528007175,32979.438532373206,1.1622434086585207,1,180.0,450.0,0.0,0.0,0.0,manual,drive,0,21,54.17629619890003,1.0123155899731038,1.024259168087828,2.2888888888888888,0
0.09999999999999999,340.44849965104083,441.8107932295329,133.39555957305046,0.07918483820994393,19.5169471093332,33327.12069069107,1.1586493541619012,1,180.0,450.0,0.0,0.0,0.0,manual,drive,0,22,51.23710678358212,1.0123155899731038,1.024259168087828,2.2888888888888888,0
0.11666666666666665,340.47478369245795,441.79896206414867,133.75839578833947,0.06434092550620381,19.57053781099821,33660.34781816368,1.1557784408947216,1,180.0,450.0,0.0,0.0,0.0,manual,drive,0,22,48.39987379426889,1.0123155899731038,1.024259168087828,2.2888888888888888,0
0.13333333333333333,340.50908223928064,441.7836849117036,134.0861963913533,0.040165517385933575,19.646989660809307,33979.16032392865,1.1535276471604257,1,180.0,450.0,0.0,0.0,0.0,manual,drive,0,23,45.20050291025863,1.0123155899731038,1.024259168087828,2.2888888888888888,0
0.15,340.55106187015855,441.7656554020677,134.37058059450297,0.015671261178178162,19.694939182537194,34281.44862947425,1.151853945174537,1,180.0,450.0,0.0,0.0,0.0,manual,drive,0,23,42.6761593493398,1.0123155899731038,1.024259168087828,2.2888888888888888,0
0.16666666666666666,340.60144881161307,441.74375722155906,134.61267729590048,0.0188271757353823,19.74502385415495,34567.18003813866,1.1507439212908945,1,180.0,450.0,0.0,0.0,0.0,manual,drive,0,23,40.02257061322898,1.0123155899731038,1.024259168087828,2.2888888888888888,0
0.18333333333333332,340.660636696297,441.7181286959376,134.8135360274747,0.035100395579542525,19.78128963030517,34836.025754105205,1.150039031629924,1,180.0,450.0,0.0,0.0,0.0,manual,drive,0,23,37.053748717364556,1.0123155899731038,1.024259168087828,2.2888888888888888,0
0.19999999999999998,340.7293818277744,441.6890030322448,134.97061092722836,0.0104480259996447,19.757609870574143,35086.36744989718,1.1499175226165737,1,180.0,450.0,0.0,0.0,0.0,manual,drive,0,23,33.901148439441634,1.0123155899731038,1.024259168087828,2.2888888888888888,0
