step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,grazing_count,walking_count,travelling_count,regrouping_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
10,abundant,110.8482271932196,70.93983077413392,14.286226330485647,0.19969292323505441,4.15679774247257,1690.014771192269,0.8904192731379366,4,30,10,0,0,0,0.20988428107578336,0.8480202066217573,0.0105,0.30158368185578094,99.99404933646335,81.69171783784869,0.0002055232127873605,0.0,32.101638189242415,156.54252997394377
11,abundant,110.86046300475198,70.97943932066065,14.440475498250402,0.23601674947958368,4.154567400999918,1701.326383111289,0.8898399053302075,4,28,12,0,0,0,0.21521101812420396,0.8477278745018204,0.0098,0.3015044978781067,99.99342367089798,81.67026881540278,0.00021983376135630762,0.0,32.101638189242415,162.5508454915634
12,abundant,110.87960879804982,71.01729690822802,14.592118408035777,0.20999904145014428,4.122553076848243,1710.410548466145,0.887626639141391,3,26,14,0,0,0,0.22147811062594816,0.847409048580132,0.0091,0.3014309960445393,99.99285602319456,81.65035894822627,0.0002331211212778536,0.0,32.101638189242415,157.90185696894005
13,abundant,110.90391032936353,71.0646170026308,14.74723970356215,0.2702266398216877,4.095990236688456,1717.7835742528332,0.885201730673166,3,25,15,0,0,0,0.22558474820221946,0.8470759053571093,0.008749999999999999,0.3013603354301511,99.99223357669294,81.63121869853727,0.0002458966739597553,0.0,32.101638189242415,163.4913414949101
14,abundant,110.92540204695543,71.10448350810749,14.904985156367252,0.19711032528594427,4.069613210230513,1726.4327706148106,0.8842584089031685,3,22,18,0,0,0,0.2327070989915975,0.8467055275482185,0.007700000000000001,0.30129819783930983,99.99169300142073,81.61438712957805,0.00025713774541080876,0.0,32.101638189242415,167.86542705219586
15,abundant,110.9459220787849,71.15536020115874,15.06846356056364,0.25349232837211294,4.060751265911567,1732.5474286226308,0.8830019569117706,3,21,19,0,0,0,0.23724294427385334,0.8463203603095172,0.007350000000000001,0.301238901441235,99.9911373260582,81.59832517095177,0.0002678670806726675,0.0,32.101638189242415,152.88260974548396
16,abundant,110.95467972331278,71.20226249552067,15.236371674143305,0.19783562771725435,4.034718725383186,1740.387946912022,0.8818232672925732,3,19,21,0,0,0,0.24260896334006085,0.8459096904498432,0.0066500000000000005,0.3011852871188217,99.99059302678384,81.5838023490547,0.0002775733516326505,0.0,32.101638189242415,166.45019601733765
17,abundant,110.96720424939215,71.2523696132029,15.421652629196297,0.2374909933186133,4.026178199427482,1750.6486865183033,0.8809936118513848,3,16,24,0,0,0,0.24978839667800262,0.8454617232134976,0.005600000000000001,0.30114019574691464,99.99015965959643,81.57158818810247,0.0002857452479322172,0.0,32.101638189242415,154.30537848413047
18,abundant,110.9710962628427,71.30108637948857,15.603423168385552,0.19308469969196643,3.997524789375015,1756.9443074658375,0.8789347428498209,3,12,28,0,0,0,0.2587586126952385,0.8449646887395327,0.004200000000000001,0.3011064681926191,99.9898369303305,81.56245221021427,0.0002918714769663503,0.0,32.101638189242415,169.64684171919157
19,abundant,110.97467609159227,71.3398778933945,15.804154554510777,0.16009917039010482,3.972598244193672,1766.9594051457934,0.8760078228230522,3,10,30,0,0,0,0.26630274105080176,0.8444397557243768,0.0035000000000000005,0.30107842261488976,99.98966355314955,81.55485534221278,0.0002969748015259103,0.0,32.101638189242415,162.72346804926497
20,abundant,110.96735311362605,71.37045552323409,16.010496787434228,0.11322479524336083,3.939875516331913,1779.3073375709646,0.8747347231149377,3,10,30,0,0,0,0.27007965969294484,0.8439106680987145,0.0035000000000000005,0.30105037719427397,99.9894664132806,81.54725851676953,0.00030207794888977723,0.0,32.101638189242415,165.04825295750976
