step,scenario,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct
0,abundant,99.99986523856889,81.96931540540953,2.045383523960292e-05,0.0,32.101638189242415
1,abundant,99.99970461139402,81.9386309253269,4.090696028892312e-05,0.0,32.101638189242415
2,abundant,99.99941928354926,81.90794655982494,6.135937517261957e-05,0.0,32.101638189242415
3,abundant,99.99898077613986,81.87803184017626,8.129973403436025e-05,0.0,32.101638189242415
4,abundant,99.9983526261989,81.84811723345605,0.00010123940053454959,0.0,32.101638189242415
5,abundant,99.99758702335933,81.81820273859023,0.0001211783746972275,0.0,32.101638189242415
6,abundant,99.99665106685951,81.78905788885503,0.00014060531066544294,0.0,32.101638189242415
7,abundant,99.99593330954511,81.76299127664977,0.0001579861885750211,0.0,32.101638189242415
8,abundant,99.99527912854846,81.73846383206501,0.00017434377123039122,0.0,32.101638189242415
9,abundant,99.9946923041965,81.71470601930653,0.0001901894400430118,0.0,32.101638189242415
10,abundant,99.99404933646335,81.69171783784869,0.0002055232127873605,0.0,32.101638189242415
11,abundant,99.99342367089798,81.67026881540278,0.00021983376135630762,0.0,32.101638189242415
12,abundant,99.99285602319456,81.65035894822627,0.0002331211212778536,0.0,32.101638189242415
13,abundant,99.99223357669294,81.63121869853727,0.0002458966739597553,0.0,32.101638189242415
14,abundant,99.99169300142073,81.61438712957805,0.00025713774541080876,0.0,32.101638189242415
15,abundant,99.9911373260582,81.59832517095177,0.0002678670806726675,0.0,32.101638189242415
16,abundant,99.99059302678384,81.5838023490547,0.0002775733516326505,0.0,32.101638189242415
17,abundant,99.99015965959643,81.57158818810247,0.0002857452479322172,0.0,32.101638189242415
18,abundant,99.9898369303305,81.56245221021427,0.0002918714769663503,0.0,32.101638189242415
19,abundant,99.98966355314955,81.55485534221278,0.0002969748015259103,0.0,32.101638189242415
20,abundant,99.9894664132806,81.54725851676953,0.00030207794888977723,0.0,32.101638189242415
21,abundant,99.98927724753894,81.53966173251845,0.0003071809190641036,0.0,32.101638189242415
22,abundant,99.9890384793925,81.53129545938495,0.0003127950579360318,0.0,32.101638189242415
23,abundant,99.98889213128712,81.52292923526508,0.0003184090018759667,0.0,32.101638189242415
24,abundant,99.98872190673534,81.51456305978951,0.00032402275089067677,0.0,32.101638189242415
25,abundant,99.98846483400841,81.50465787444737,0.0003306589967489102,0.0,32.101638189242415
26,abundant,99.98818923226659,81.49321368449684,0.00033831770394792077,0.0,32.101638189242415
27,abundant,99.9879276554556,81.48176955416075,0.0003459761452242147,0.0,32.101638189242415
28,abundant,99.98770417372495,81.47109501485431,0.0003531229747060353,0.0,32.101638189242415
29,abundant,99.98752077845714,81.46119006259286,0.00035975821015737263,0.0,32.101638189242415
