step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,grazing_count,walking_count,travelling_count,regrouping_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
10,scarce,108.18620516930059,65.72041996509695,18.878559049322885,0.3838930570277831,4.544234043080268,2270.7689262844506,0.6896063935083157,3,0,0,33,7,0,0.6134418638463052,0.8406297664505832,0.0,0.05111967613630763,100.0,46.000860277065655,0.0,0.0,24.325666783590812,216.78326644595413
11,scarce,107.98884040773609,65.51336086439754,18.95643374488055,0.3906050633409463,4.501591637329599,2226.9619355663126,0.6827842227697598,3,0,0,33,7,0,0.6365831851775237,0.8395995249468878,0.0,0.05111976304503088,100.0,46.00093848327386,0.0,0.0,24.325666783590812,207.99636069366306
12,scarce,107.77630914350914,65.2941840480141,19.044662658177618,0.40552557233177,4.538997599508603,2184.8263158920345,0.6754394817480563,3,0,0,33,7,0,0.6564312259898383,0.838547450598299,0.0,0.051119849953606376,100.0,46.0010166893491,0.0,0.0,24.325666783590812,208.10661012596074
13,scarce,107.54966167967572,65.0640618150728,19.144514431136997,0.4185440172163799,4.647006401854165,2156.0413006930103,0.6676361731564985,4,0,0,33,7,0,0.6740076266505148,0.8374760422089835,0.0,0.051119936862034115,100.0,46.00109489529138,0.0,0.0,24.325666783590812,207.9138163133817
14,scarce,107.30806916600469,64.8229614043433,19.257209823795428,0.43207708147290363,4.7178887019888585,2126.199646348774,0.659387894931528,5,0,0,33,7,0,0.6891155631701732,0.8363880150894962,0.0,0.05112002377031412,100.0,46.001173101100726,0.0,0.0,24.325666783590812,208.04358269729687
15,scarce,107.05299804707829,64.57037843019346,19.38272214514014,0.44603461101678543,4.701021220179809,2094.939725962773,0.6507559597874977,4,0,0,33,7,0,0.7029318284522226,0.8352847900781988,0.0,0.051120110678446344,100.0,46.00125130677708,0.0,0.0,24.325666783590812,207.99832625889493
16,scarce,106.78511927492443,64.30731365004708,19.521658879747996,0.45770834142780176,4.666342973089802,2061.904871600025,0.6416720269309238,4,0,0,33,7,0,0.715017518865127,0.8341682708074473,0.0,0.051120197586430834,100.0,46.001329512320495,0.0,0.0,24.325666783590812,207.7509192436528
17,scarce,106.50409178091274,64.03570591736866,19.67524561630124,0.46871949798492757,4.557755064265789,2027.6263966366132,0.6417504808199284,4,0,0,33,7,0,0.7259631603727179,0.8330397113310373,0.0,0.05112028449426755,100.0,46.001407717730935,0.0,0.0,24.325666783590812,207.57622629517127
18,scarce,106.22153938334687,63.75290854627586,19.8331888460714,0.48498596779483105,4.441031604819542,1991.2144683652295,0.6446768778322911,4,0,0,32,8,0,0.7264852342463402,0.8319105775733663,0.0,0.051120371401956535,100.0,46.00148592300843,0.0,0.0,24.325666783590812,207.87415534090525
19,scarce,105.94271128466895,63.476577905907014,19.985959904871624,0.49647033986574657,4.41040629776501,1998.2273530579005,0.6675646690442191,5,0,0,31,9,0,0.7168391774008269,0.8307920544782255,0.0,0.05112045830949777,100.0,46.00156412815298,0.0,0.0,24.325666783590812,216.7844103957619
20,scarce,105.66489966584308,63.2082215222022,20.143361667534304,0.45024529218777165,4.401621412146708,2023.9207392366843,0.6978621367162376,4,0,0,31,9,0,0.7160954710605179,0.8296743494600587,0.0,0.05112054521689123,100.0,46.00164233316455,0.0,0.0,24.325666783590812,212.84408972184337
21,scarce,105.38711009057297,62.960157834720235,20.301551881886247,0.4317132415714072,4.381835329787196,2050.294150376074,0.7290181091282145,4,0,0,30,10,0,0.7111508791863621,0.8285620834929539,0.0,0.05112063212413695,100.0,46.00172053804317,0.0,0.0,24.325666783590812,212.30553502130698
22,scarce,105.11372679835503,62.72336214630137,20.468596619963346,0.39471782125479277,4.382806675769821,2088.6172683901023,0.759602103609678,5,0,0,30,10,0,0.7114818007731014,0.8274494535121034,0.0,0.05112071903123492,100.0,46.001798742788836,0.0,0.0,24.325666783590812,206.94794524790314
