step,scenario,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct
0,scarce,100.0,46.00007820767078,0.0,0.0,24.325666783590812
1,scarce,100.0,46.00015641520858,0.0,0.0,24.325666783590812
2,scarce,100.0,46.00023462261344,0.0,0.0,24.325666783590812
3,scarce,100.0,46.00031282988533,0.0,0.0,24.325666783590812
4,scarce,100.0,46.00039103702425,0.0,0.0,24.325666783590812
5,scarce,100.0,46.00046924403022,0.0,0.0,24.325666783590812
6,scarce,100.0,46.000547450903234,0.0,0.0,24.325666783590812
7,scarce,100.0,46.00062565764328,0.0,0.0,24.325666783590812
8,scarce,100.0,46.00070386425036,0.0,0.0,24.325666783590812
9,scarce,100.0,46.00078207072449,0.0,0.0,24.325666783590812
10,scarce,100.0,46.000860277065655,0.0,0.0,24.325666783590812
11,scarce,100.0,46.00093848327386,0.0,0.0,24.325666783590812
12,scarce,100.0,46.0010166893491,0.0,0.0,24.325666783590812
13,scarce,100.0,46.00109489529138,0.0,0.0,24.325666783590812
14,scarce,100.0,46.001173101100726,0.0,0.0,24.325666783590812
15,scarce,100.0,46.00125130677708,0.0,0.0,24.325666783590812
16,scarce,100.0,46.001329512320495,0.0,0.0,24.325666783590812
17,scarce,100.0,46.001407717730935,0.0,0.0,24.325666783590812
18,scarce,100.0,46.00148592300843,0.0,0.0,24.325666783590812
19,scarce,100.0,46.00156412815298,0.0,0.0,24.325666783590812
20,scarce,100.0,46.00164233316455,0.0,0.0,24.325666783590812
21,scarce,100.0,46.00172053804317,0.0,0.0,24.325666783590812
22,scarce,100.0,46.001798742788836,0.0,0.0,24.325666783590812
23,scarce,100.0,46.001876947401534,0.0,0.0,24.325666783590812
24,scarce,100.0,46.00195515188129,0.0,0.0,24.325666783590812
25,scarce,100.0,46.00203335622808,0.0,0.0,24.325666783590812
26,scarce,100.0,46.002111560441925,0.0,0.0,24.325666783590812
27,scarce,100.0,46.00218976452281,0.0,0.0,24.325666783590812
28,scarce,100.0,46.00226796847075,0.0,0.0,24.325666783590812
29,scarce,100.0,46.002346172285705,0.0,0.0,24.325666783590812
30,scarce,100.0,46.00242437596773,0.0,0.0,24.325666783590812
31,scarce,100.0,46.00250257951679,0.0,0.0,24.325666783590812
32,scarce,100.0,46.0025807829329,0.0,0.0,24.325666783590812
33,scarce,100.0,46.002658986216055,0.0,0.0,24.325666783590812
34,scarce,100.0,46.002737189366265,0.0,0.0,24.325666783590812
35,scarce,100.0,46.00281539238351,0.0,0.0,24.325666783590812
36,scarce,100.0,46.0028935952678,0.0,0.0,24.325666783590812
37,scarce,100.0,46.002971798019146,0.0,0.0,24.325666783590812
38,scarce,100.0,46.00305000063754,0.0,0.0,24.325666783590812
39,scarce,100.0,46.003128203122984,0.0,0.0,24.325666783590812
40,scarce,100.0,46.003206405475474,0.0,0.0,24.325666783590812
41,scarce,100.0,46.00328460769501,0.0,0.0,24.325666783590812
42,scarce,100.0,46.003362809781585,0.0,0.0,24.325666783590812
43,scarce,100.0,46.00344101173521,0.0,0.0,24.325666783590812
44,scarce,100.0,46.0035192135559,0.0,0.0,24.325666783590812
45,scarce,100.0,46.00359741524363,0.0,0.0,24.325666783590812
46,scarce,100.0,46.003675616798404,0.0,0.0,24.325666783590812
47,scarce,100.0,46.00375381822024,0.0,0.0,24.325666783590812
48,scarce,100.0,46.00383201950912,0.0,0.0,24.325666783590812
49,scarce,100.0,46.00391022066505,0.0,0.0,24.325666783590812
50,scarce,100.0,46.00398842168803,0.0,0.0,24.325666783590812
51,scarce,100.0,46.00406662257806,0.0,0.0,24.325666783590812
