step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,alert_count,grazing_count,travelling_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
0,scarce,110.14177740577256,72.39896394462626,19.63672749116607,0.14417161428397504,5.946141830428913,2832.824180848307,0.8652711511077714,8,11,0,25,0,0.3522461098964273,0.849282529279114,0.0,0.05111880704094851,100.0,46.00007820767078,0.0,0.0,24.325666783590812,177.51942936569978
1,scarce,110.19663336968412,72.36858862515496,19.469289273915546,0.1287241399572847,5.8906787407675285,2733.992551125477,0.8647538933938836,7,12,0,24,0,0.46209012303470254,0.8484442301437758,0.0,0.05111889395114932,100.0,46.00015641520858,0.0,0.0,24.325666783590812,171.71088433088894
2,scarce,110.26435124670209,72.3383807478886,19.28270436815411,0.13258485377507065,5.823198126838855,2622.596804601031,0.8641017388934893,7,12,0,24,0,0.55066292980485,0.8475085009209904,0.0,0.05111898086120238,100.0,46.00023462261344,0.0,0.0,24.325666783590812,172.74843551810017
3,scarce,110.34124776349383,72.30435068585838,19.100218189056015,0.13555508492611484,5.736625966035906,2505.8697891827906,0.8629381400351211,7,12,0,24,0,0.6167250542036012,0.8465001033613664,0.0,0.05111906777110769,100.0,46.00031282988533,0.0,0.0,24.325666783590812,174.12171198816614
4,scarce,110.42954360425153,72.27314364929491,18.936370257323585,0.13628097176914797,5.492395996191971,2387.1888713528388,0.8618632473397871,7,12,0,24,0,0.6698963606800771,0.8454332173646183,0.0,0.051119154680865225,100.0,46.00039103702425,0.0,0.0,24.325666783590812,185.75097693942584
5,scarce,110.52159904027268,72.24014148136744,18.795811525997625,0.13213345335719517,5.108822644603081,2268.350116376594,0.8603858701228623,8,12,0,24,0,0.7133722803919904,0.8443185078561872,0.0,0.05111924159047502,100.0,46.00046924403022,0.0,0.0,24.325666783590812,187.37252934198543
6,scarce,110.61971190654124,72.21483889728414,18.682210909753167,0.12782195631584026,4.734980702668922,2150.5281443341264,0.8592701580604925,7,12,0,24,0,0.752852662686116,0.8431603699272324,0.0,0.051119328499937056,100.0,46.000547450903234,0.0,0.0,24.325666783590812,188.830724531548
7,scarce,110.730484929851,72.19718631271111,18.596868889417674,0.13190456096916933,4.4609902226866955,2036.0689468022538,0.8582468307928321,7,12,0,24,0,0.7884328960261392,0.8419630937416036,0.0,0.051119415409251336,100.0,46.00062565764328,0.0,0.0,24.325666783590812,189.70152412470986
8,scarce,110.8594308867185,72.16845408384873,18.51858795916645,0.16958953232458854,4.278729804104804,1939.8284579658102,0.8565858617131111,6,13,0,23,0,0.8058583530517398,0.8407466495532467,0.0,0.05111950231841785,100.0,46.00070386425036,0.0,0.0,24.325666783590812,187.9248959887011
9,scarce,111.00171248068563,72.13368996763668,18.45371272919208,0.17235204321301817,4.377435591390593,1882.4955330616576,0.854223660432769,6,13,0,23,0,0.8422640467648098,0.8394901591018056,0.0,0.05111958922743662,100.0,46.00078207072449,0.0,0.0,24.325666783590812,196.58779763959888
