step,scenario,sheep_id,x,y,vx,vy,speed,state,energy,last_food_intake,cumulative_food,path_length
0,scarce,0,127.48029573988477,74.74367451636964,-0.10766953993756784,0.35210351339371093,0.3681977919197271,travelling,0.8492649824288883,0.0,0.0,0.36819779191972873
0,scarce,1,122.40976594084242,65.9663697095763,-0.15782754379117442,-0.24177535864317232,0.2887297311088515,travelling,0.8493523972957803,0.0,0.0,0.28872973110884553
0,scarce,2,88.77345362878793,65.62425799124595,0.2884841894215031,0.24920569489768057,0.381217268648231,travelling,0.8492506610044869,0.0,0.0,0.38121726864823746
0,scarce,3,98.09226075017195,96.90873351980495,-0.05138185932276808,-0.35041094133276046,0.3541580484376658,regrouping,0.8492804261467185,0.0,0.0,0.3541580484376603
0,scarce,4,113.3862477523008,81.11823521239924,0.11233353252696322,-0.27432203288031454,0.29643110540827977,travelling,0.8493439257840508,0.0,0.0,0.2964311054082843
0,scarce,5,105.79940373929007,106.15940250986952,-0.055850758320224576,-0.39487363903739603,0.39880383399809466,regrouping,0.849231315782602,0.0,0.0,0.39880383399809727
0,scarce,6,122.51180826029254,107.60042137294647,0.15064093244478896,-0.43667581218267704,0.4619290589183972,regrouping,0.8491618780351897,0.0,0.0,0.4619290589183906
0,scarce,7,95.74222241579945,70.24332791516716,0.22289963963170573,0.22031092754491954,0.31340254329479694,travelling,0.8493252572023757,0.0,0.0,0.31340254329479383
0,scarce,8,106.85226119789807,53.01229015522806,-0.1899447150235585,-0.21029400232455653,0.2833770671368123,travelling,0.8493582852261495,0.0,0.0,0.2833770671368137
0,scarce,9,127.64804520636233,54.17776688134194,0.29254727840956946,-0.20906926250699734,0.3595745633802062,travelling,0.8492744679802817,0.0,0.0,0.3595745633802099
0,scarce,10,101.83521758259974,71.3188316240722,0.2796931857727668,-0.262069799860248,0.3832869136384777,travelling,0.8492483843949976,0.0,0.0,0.3832869136384772
0,scarce,11,111.75092037174109,71.29381089500747,0.15277379794629686,-0.3165205267798063,0.3514613452599048,travelling,0.8492833925202141,0.0,0.0,0.3514613452599089
0,scarce,12,98.4944651274743,72.78571295551615,-0.14854989651724756,0.17313978849104822,0.22813254505661806,travelling,0.8494190542004377,0.0,0.0,0.22813254505661668
0,scarce,13,115.02092679006084,84.47431053266486,-0.3651671367808154,-0.03859059807076559,0.36720058829495106,travelling,0.8492660793528756,0.0,0.0,0.36720058829494806
