step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,alert_count,grazing_count,travelling_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
16,abundant,111.19862948484968,71.82699644333435,15.662340492182173,0.3155045187332938,4.082321279674945,1598.6814360998906,1.0514938305421964,2,0,19,21,0,0.3854734350096175,0.8425660883527236,0.0066500000000000005,0.301759133032783,99.99440075508679,81.7392433138883,0.00017431869065784425,0.0,32.101638189242415,140.93226361997495
17,abundant,111.21786456323699,71.89904898644635,15.870230415401362,0.28923580060884607,4.102101533315385,1638.4603808859538,1.0504071868770066,2,0,19,21,0,0.39547793104858453,0.8419872626285703,0.0066500000000000005,0.3017055173374579,99.99384890050267,81.72472012010263,0.00018402820976942205,0.0,32.101638189242415,140.28198500721481
18,abundant,111.23507835784369,71.97692456844676,16.09202492006481,0.31647121059184724,4.147211648381817,1679.7724458954071,1.0490471254983615,2,0,19,21,0,0.40451792103997486,0.841398492915426,0.0066500000000000005,0.3016519018992512,99.99321661009351,81.71019699596414,0.0001937373917507726,0.0,32.101638189242415,147.68007194372007
19,abundant,111.2516238174137,72.05381849250685,16.326213436076642,0.3050071517784887,4.22447353546752,1723.8946210975264,1.0479746992145462,2,0,18,22,0,0.4149201809348339,0.8407884807163978,0.0063,0.3016011276144591,99.99266473399449,81.69644347149914,0.00020293489073261152,0.0,32.101638189242415,140.25183951300136
20,abundant,111.26606592773359,72.1263839633892,16.566636855207484,0.2737112523969939,4.305940746403926,1780.4264295204775,1.0476514202928515,2,0,18,22,0,0.4243879140426136,0.8401648475878826,0.006185484890421089,0.3015512830717598,99.99207412443647,81.68294179165727,0.00021196476513497893,0.0,32.101638189242415,149.94288192141178
21,abundant,111.28110284276397,72.19947732847274,16.81852861697297,0.2773096806840908,4.398816389863332,1841.7998121993005,1.0561742601202508,5,0,18,22,0,0.4336679669342888,0.8395244142963113,0.0059500525734429936,0.301503349727427,99.99147939408772,81.66995780918127,0.00022065036216108768,0.0,32.101638189242415,139.94832765216677
22,abundant,111.29704449668031,72.27845030999114,17.088183268223997,0.3129738201326385,4.456881656782988,1905.8921438806356,1.0646358005157428,5,0,18,22,0,0.441606030844531,0.8388752491279096,0.005950052340261075,0.30145541660707426,99.99082723621142,81.65697388737605,0.00022933565726852612,0.0,32.101638189242415,138.07393357936442
23,abundant,111.3091777363874,72.35541233721437,17.38568656171191,0.28971737856466473,4.53612215128191,1972.4078630296717,1.0722318298999693,5,0,18,22,0,0.4501279216769034,0.8382167098730633,0.005950052107078631,0.3014074837123104,99.99021913050676,81.64399002667741,0.00023802065046777654,0.0,32.101638189242415,131.27903471747013
24,abundant,111.32122018237087,72.42647716093549,17.708613838408045,0.2579924400389587,4.624184529628171,2040.5252887419847,1.0698964460501441,6,0,18,22,0,0.45787014637764517,0.837549654164517,0.005950051873895657,0.3013595510393924,99.98953657244057,81.63100622607143,0.0002467053417693209,0.0,32.101638189242415,148.0120328683825
25,abundant,111.33120320685205,72.49851237352648,18.046651251514348,0.25844918540529005,4.689707148779003,2111.3599431664625,1.067650760240935,6,0,18,22,0,0.46562972556893156,0.8368650199240506,0.005627087773555387,0.30131424003344975,99.9888306675377,81.61873257157649,0.00025491788477455723,0.0,32.101638189242415,140.8296679872916
26,abundant,111.34087126710654,72.57018897770354,18.400948508314286,0.26281246352411947,4.751546643815104,2185.691638665776,1.0654814117716427,8,0,17,23,0,0.47382072560487176,0.8361527201157125,0.004960821065261854,0.30127433722490843,99.98813591495777,81.60792386682085,0.00026215673480721046,0.0,32.101638189242415,140.38330745055268
