step,scenario,sheep_id,x,y,vx,vy,speed,state,energy,last_food_intake,cumulative_food,path_length
0,abundant,0,124.01397416165135,74.96804770186287,0.1570324898197117,0.0614421568684979,0.16862485433538843,grazing,0.849876512660231,0.014,0.014,0.1686248543353883
0,abundant,1,98.13969070450757,72.9951443716614,-0.05809884840678424,0.1870727585052568,0.19588693974065913,grazing,0.8498465243662852,0.014,0.014,0.19588693974065513
0,abundant,2,123.5201408604138,71.0211597182201,-0.008724066143334144,0.14723558697177766,0.14749382156889546,grazing,0.8498997567962742,0.014,0.014,0.1474938215688921
0,abundant,3,110.93734923771453,73.36256466130537,0.01822146702948548,0.17079060672448704,0.171759870767374,grazing,0.8498730641421558,0.014,0.014,0.17175987076736826
0,abundant,4,89.14020579739798,83.34681573039225,0.14334734362330614,-0.4652569833143468,0.48683931789310586,regrouping,0.8491344767503176,0.0,0.0,0.4868393178931059
0,abundant,5,100.5526695823349,62.0466564762073,-0.03382238001239203,0.2057922840101583,0.20855315281198775,grazing,0.8498325915319067,0.014,0.014,0.20855315281198827
0,abundant,6,113.12672280178171,60.78070965601924,0.09681700232294853,0.1894350668411504,0.21274204212593462,grazing,0.8498279837536614,0.014,0.014,0.2127420421259343
0,abundant,7,129.851048333234,60.09147895002188,0.10517373048046602,0.05432093655946587,0.11837346717856677,grazing,0.8499317891861035,0.014,0.014,0.1183734671785594
0,abundant,8,116.1317509346903,76.9375542205678,0.16854472590347203,-0.019382657753726912,0.16965556887846217,grazing,0.8498753788742336,0.014,0.014,0.16965556887846292
0,abundant,9,98.59661885680794,55.27549852139116,0.0901150189156075,0.14485746779388575,0.17060012488218448,grazing,0.8498743398626295,0.014,0.014,0.17060012488218468
0,abundant,10,95.55894153796989,71.20133022206102,-0.14775964740083908,0.0680531074884959,0.16267802199086717,grazing,0.84988305417581,0.014,0.014,0.16267802199086076
0,abundant,11,104.44810920326502,70.38184149958262,-0.12802766231740392,0.159421355864672,0.20446576981047365,grazing,0.8498370876532084,0.014,0.014,0.20446576981047102
0,abundant,12,118.3364329207418,78.65662823046064,0.09945936157864736,0.05562000979331863,0.11395503540888825,grazing,0.8499366494610502,0.014,0.014,0.11395503540889154
