step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,alert_count,grazing_count,travelling_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
10,abundant,115.73523011172772,75.47227217846483,14.435262873464126,0.5006414038319791,2.947430316923024,875.0238764640453,1.6112172001725373,4,2,14,20,0,0.717102868245518,0.8386348564019247,0.0054444444444444445,0.30235354961576005,99.99893871331543,81.90025637492624,6.697622665945854e-05,0.0,32.10163818924243,111.4043142489432
11,abundant,116.21993032063558,75.68573966154537,14.755110270841676,0.5064650478288936,2.908960828167189,875.3929908346036,1.7095146639546275,4,2,14,20,0,0.7175304504905896,0.8376680173508293,0.0054444444444444445,0.30231413540974905,99.99877231443803,81.88958002076662,7.413274347026777e-05,0.0,32.10163818924243,118.06713727968499
12,abundant,116.72756476672264,75.87649097913504,15.098053112783955,0.4964235761001659,2.8687780213253236,870.155577337151,1.8249801415216527,4,2,14,20,0,0.7179562042005032,0.8367007099706532,0.0054444444444444445,0.3022747213845057,99.99859311757261,81.87890371557258,8.128901179522399e-05,0.0,32.10163818924243,102.19637111227956
13,abundant,117.20143347268514,76.108649625986,15.476384102986856,0.4860429854006274,2.8389087828686064,878.4367428204787,1.9226522393800862,4,1,15,20,0,0.6971219910716451,0.8357672091138076,0.005833333333333334,0.3022324666376593,99.99835756674226,81.86745792767238,8.89563775239451e-05,0.0,32.10163818924243,91.1760311635708
14,abundant,117.69591703947079,76.27333467340314,15.864117108441665,0.49124395752396643,2.769127237242539,891.4084265700294,1.9609214070564795,4,1,15,20,0,0.6975379270991086,0.8348332507273319,0.005833333333333334,0.3021902120835672,99.99810881049952,81.85601219198463,9.662347702931144e-05,0.0,32.10163818924243,117.86890595019369
15,abundant,118.18566393756961,76.44866916870154,16.202722992537854,0.4712623347483249,2.761237242671028,884.5452542736894,2.0802124469395786,4,2,15,19,0,0.6984886088429937,0.8338982465909381,0.005833333333333334,0.30214795773076997,99.99780844451548,81.8445665108228,0.00010429031032056678,0.0,32.10163818924243,132.28145538550785
16,abundant,118.67304471582631,76.62001992634721,16.536220775847298,0.5286128012692566,2.702315725555853,884.1273288679149,2.1590505259937665,5,2,16,18,0,0.6781582398220708,0.8329964947493561,0.006222222222222223,0.30210286269546055,99.99753181040253,81.83235135754356,0.00011246822328794454,0.0,32.10163818924243,114.2849000065297
17,abundant,119.1319359826176,76.74632351485575,16.881878561863328,0.4611911255783931,2.6620798625670146,879.8086727954069,2.221814904446562,5,2,17,17,0,0.6578111617895545,0.8321280135824987,0.006611111111111113,0.30205492699692676,99.99725104840735,81.81936673737152,0.00012115719818593077,0.0,32.10163818924243,132.80343786452647
18,abundant,119.56744165106255,76.9154461610511,17.174418268499622,0.49384911365275214,2.582840404526028,871.326723067119,2.262285414747802,5,3,18,15,0,0.6379798948238034,0.8312922356981923,0.007,0.3020041506633383,99.99692730379033,81.80561265793717,0.00013035721726962753,0.0,32.10163818924243,124.97803967272529
19,abundant,119.99428024125801,77.07679502025474,17.440392645981177,0.5052524946297368,2.46944165709419,866.0362694186551,2.3256135632866277,5,3,18,15,0,0.6383617124241877,0.8304560378145255,0.007,0.301953374596866,99.99664945250723,81.79185865085812,0.00013955691691376306,0.0,32.10163818924243,143.17761119956756
