step,scenario,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct
0,abundant,99.99997306462394,81.99394039200978,4.090767047920584e-06,0.0,32.10163818924243
1,abundant,99.999943002742,81.98788081162954,8.181392057784622e-06,0.0,32.10163818924243
2,abundant,99.99989746265892,81.98105172815409,1.2783220915513983e-05,0.0,32.10163818924243
3,abundant,99.99981681810176,81.97345314475373,1.7896235871283215e-05,0.0,32.10163818924243
4,abundant,99.99969916837117,81.96508506321906,2.352041917588317e-05,0.0,32.10163818924243
5,abundant,99.99957831617027,81.9559474856674,2.9655753080720996e-05,0.0,32.10163818924243
6,abundant,99.99943407658746,81.94450135521458,3.7324911599800214e-05,0.0,32.10163818924243
7,abundant,99.99932525231218,81.93305527118928,4.499380383327611e-05,0.0,32.10163818924243
8,abundant,99.99920433035858,81.92237876585673,5.2151083909404506e-05,0.0,32.10163818924243
9,abundant,99.9990714813715,81.91093277852087,5.981946135416814e-05,0.0,32.10163818924243
10,abundant,99.99893871331543,81.90025637492624,6.697622665945854e-05,0.0,32.10163818924243
11,abundant,99.99877231443803,81.88958002076662,7.413274347026777e-05,0.0,32.10163818924243
12,abundant,99.99859311757261,81.87890371557258,8.128901179522399e-05,0.0,32.10163818924243
13,abundant,99.99835756674226,81.86745792767238,8.89563775239451e-05,0.0,32.10163818924243
14,abundant,99.99810881049952,81.85601219198463,9.662347702931144e-05,0.0,32.10163818924243
15,abundant,99.99780844451548,81.8445665108228,0.00010429031032056678,0.0,32.10163818924243
16,abundant,99.99753181040253,81.83235135754356,0.00011246822328794454,0.0,32.10163818924243
17,abundant,99.99725104840735,81.81936673737152,0.00012115719818593077,0.0,32.10163818924243
18,abundant,99.99692730379033,81.80561265793717,0.00013035721726962753,0.0,32.10163818924243
19,abundant,99.99664945250723,81.79185865085812,0.00013955691691376306,0.0,32.10163818924243
