step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,alert_count,grazing_count,travelling_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
0,scarce,110.8405123957773,71.62508012263135,11.577035597875573,0.551658925838973,3.1689211060976836,897.070377332595,0.8939394408421852,1,0,0,36,0,1.4892819389965715,0.8480317898671037,0.0,0.0511188070409485,100.0,46.00007820767078,0.0,0.0,24.325666783590812,161.0859452696419
1,scarce,111.65724259019458,71.92866790271695,11.959320456858654,0.5847393454945621,2.968001261602149,891.7479340636673,0.9621795578868155,1,0,0,36,0,1.4901147559598706,0.8460626636355477,0.0,0.05111889395114932,100.0,46.00015641520859,0.0,0.0,24.325666783590812,122.63146888231238
2,scarce,112.44139033675657,72.23654206649098,12.443428467338283,0.5650255204693191,2.8641619478349525,893.5238993855346,1.0239131580517153,2,0,0,36,0,1.490944375870727,0.8440926248220899,0.0,0.05111898086120239,100.0,46.000234622613455,0.0,0.0,24.325666783590812,166.50545194619016
3,scarce,113.25406157588944,72.58034466126153,12.951709488950325,0.5915136905733117,2.735628164638755,883.4429391309677,1.129443649929738,1,0,0,36,0,1.4917707759846925,0.8421216769685068,0.0,0.05111906777110768,100.0,46.00031282988534,0.0,0.0,24.325666783590812,126.9922858682959
4,scarce,114.11826964475985,72.89344283367979,13.424587915374008,0.6158251170144265,2.811913100831932,903.2230666961914,1.2271778424978692,2,0,0,36,0,1.4925939336455907,0.8401498236414967,0.0,0.051119154680865225,100.0,46.000391037024265,0.0,0.0,24.325666783590812,138.63197711105119
5,scarce,115.02717452135214,73.073798942435,13.747470531118218,0.6204752748934238,2.7759232525186643,894.5618537580303,1.2821102042213903,2,0,0,36,0,1.4934138262861378,0.838177068432582,0.0,0.05111924159047502,100.0,46.000469244030235,0.0,0.0,24.325666783590812,167.22135743712437
6,scarce,115.97087125621914,73.336057677587,14.032169133887795,0.6554950513659247,2.583593069987449,864.5991038066131,1.3249762765126922,2,0,0,36,0,1.4942304314285633,0.8362034149580105,0.0,0.051119328499937056,100.0,46.00054745090325,0.0,0.0,24.325666783590812,145.35066845736984
7,scarce,116.90052296063112,73.71696796494378,14.409944807849971,0.6719947959092584,2.3640802054792847,861.3269719044329,1.3541303230598378,2,0,0,36,0,1.4950437266852248,0.8342288668586567,0.0,0.051119415409251336,100.0,46.0006256576433,0.0,0.0,24.325666783590812,128.89291718343623
8,scarce,117.70505513165475,74.02506787592387,14.920642120016923,0.57593125380364,2.2039022759761426,913.7053387677588,1.4645335499008698,2,0,0,36,0,1.495853689759222,0.8322534277999218,0.0,0.05111950231841785,100.0,46.000703864250376,0.0,0.0,24.325666783590812,126.07610729247553
9,scarce,118.51312211568393,74.30847134829666,15.33030088636744,0.5721561591092069,2.0058373027587058,929.1903745441596,1.5058456646003493,2,0,0,36,0,1.4966602984450073,0.8302771014716324,0.0,0.05111958922743662,100.0,46.000782070724505,0.0,0.0,24.325666783590812,125.13679738069612
10,scarce,119.29461519095918,74.71738585599344,15.417248088402381,0.5890029841575102,1.8630610742742926,922.3328606050345,1.5708788806697505,3,0,0,36,0,1.4974635306289974,0.8282998915879403,0.0,0.05111967613630763,100.0,46.00086027706567,0.0,0.0,24.325666783590812,138.80343062058233
11,scarce,119.97119050438482,75.13238327612319,15.46482053342212,0.5297539350825177,1.7721285376736728,944.9717641578391,1.5540248912283419,3,0,0,36,0,1.498263364290175,0.8263218018872212,0.0,0.05111976304503088,100.0,46.00093848327387,0.0,0.0,24.325666783590812,130.39422197520636
12,scarce,120.67983003512957,75.49769577247098,15.610428617381935,0.5318399051800696,1.6567716409462339,966.0985305847207,1.599960828718587,3,0,0,36,0,1.499059777500697,0.8243428361319701,0.0,0.051119849953606376,100.0,46.001016689349115,0.0,0.0,24.325666783590812,147.75378363188486
13,scarce,121.09214539249969,75.85611782126686,15.663833544431377,0.36425200550972314,1.5138999574842107,960.0725245491049,1.525595503203231,4,0,0,36,0,1.4998527484264927,0.8223629981087012,0.0,0.051119936862034115,100.0,46.001094895291395,0.0,0.0,24.325666783590812,124.95894325976525
14,scarce,121.39504811820206,76.14775979829365,15.466803535096906,0.2802013528616864,1.4441659980794843,921.7755745531467,1.5207499457999532,3,0,0,36,0,1.5006422553278636,0.8203822916278405,0.0,0.05112002377031411,100.0,46.001173101100726,0.0,0.0,24.325666783590812,160.43616832576447
15,scarce,121.83010342175645,76.33219447599346,15.431607792016543,0.3147236169900649,1.1496072671990865,860.5647703053,1.5099761964740155,3,0,0,36,0,1.5014282765600795,0.8184007205236243,0.0,0.051120110678446344,100.0,46.00125130677709,0.0,0.0,24.325666783590812,150.73185267685923
