step,scenario,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct
0,scarce,100.0,46.00007820767078,0.0,0.0,24.325666783590812
1,scarce,100.0,46.00015641520859,0.0,0.0,24.325666783590812
2,scarce,100.0,46.000234622613455,0.0,0.0,24.325666783590812
3,scarce,100.0,46.00031282988534,0.0,0.0,24.325666783590812
4,scarce,100.0,46.000391037024265,0.0,0.0,24.325666783590812
5,scarce,99.99988765300199,45.99846061822594,6.249902344512936e-07,0.0,24.325666783590812
6,scarce,99.99954116056439,45.992512952964,2.499951172409053e-06,0.0,24.325666783590812
7,scarce,99.99899348940188,45.98455667403612,4.999873048782327e-06,0.0,24.325666783590812
8,scarce,99.99824300900086,45.97459178611357,8.124746098632741e-06,0.0,24.325666783590812
9,scarce,99.99719346099319,45.962618291869305,1.1874560557174495e-05,0.0,24.325666783590812
10,scarce,99.99536267800202,45.952185257408004,1.5145004018269045e-05,0.0,24.325666783590812
11,scarce,99.99332421396714,45.942220362481876,1.826973901161952e-05,0.0,24.325666783590812
12,scarce,99.99080634183758,45.929378588306506,2.2289580283185404e-05,0.0,24.325666783590812
13,scarce,99.98816103521013,45.9153963808647,2.666421466626686e-05,0.0,24.325666783590812
14,scarce,99.98495209664483,45.89962329735919,3.159602289518628e-05,0.0,24.325666783590812
15,scarce,99.98144288633553,45.891120299386344,3.426564859231636e-05,0.0,24.325666783590812
16,scarce,99.97782726423559,45.883163811240344,3.6765184757218155e-05,0.0,24.325666783590812
17,scarce,99.97384039175687,45.87721596133377,3.8639685868377806e-05,0.0,24.325666783590812
18,scarce,99.96990329463927,45.86524225339415,4.238912116814813e-05,0.020292207792207792,24.325666783590812
19,scarce,99.96582068482904,45.8552772842005,4.551347342061665e-05,0.020292207792207792,24.325666783590812
20,scarce,99.9616526107016,45.84129508992378,4.988774990799425e-05,0.040584415584415584,24.325666783590812
21,scarce,99.95732502559844,45.835191044051236,5.1810647574015265e-05,0.040584415584415584,24.325666783590812
22,scarce,99.95732519110227,45.835269422271416,5.1809838038971434e-05,0.040584415584415584,24.325666783590812
23,scarce,99.95732535660615,45.83534780035945,5.1809028516576495e-05,0.040584415584415584,24.325666783590812
24,scarce,99.95732552211008,45.83542617831531,5.1808219006830225e-05,0.040584415584415584,24.325666783590812
25,scarce,99.95732568761404,45.83550455613901,5.180740950973247e-05,0.040584415584415584,24.325666783590812
26,scarce,99.95732585311812,45.83558293383053,5.1806600025283e-05,0.040584415584415584,24.325666783590812
27,scarce,99.95732601862221,45.835661311389906,5.180579055348162e-05,0.040584415584415584,24.325666783590812
28,scarce,99.95732618412639,45.835739688817114,5.180498109432814e-05,0.040584415584415584,24.325666783590812
29,scarce,99.9573263496306,45.835818066112154,5.1804171647822353e-05,0.040584415584415584,24.325666783590812
30,scarce,99.95732651513488,45.83589644327504,5.180336221396409e-05,0.040584415584415584,24.325666783590812
31,scarce,99.95732668063923,45.83597482030576,5.1802552792753104e-05,0.040584415584415584,24.325666783590812
32,scarce,99.95732684614362,45.836053197204315,5.180174338418925e-05,0.040584415584415584,24.325666783590812
33,scarce,99.95732701164805,45.836131573970704,5.180093398827229e-05,0.040584415584415584,24.325666783590812
34,scarce,99.95732717715255,45.836209950604946,5.180012460500205e-05,0.040584415584415584,24.325666783590812
35,scarce,99.95732734265711,45.83628832710702,5.1799315234378324e-05,0.040584415584415584,24.325666783590812
36,scarce,99.95732750816173,45.83636670347693,5.179850587640092e-05,0.040584415584415584,24.325666783590812
37,scarce,99.9573276736664,45.83644507971469,5.1797696531069623e-05,0.040584415584415584,24.325666783590812
38,scarce,99.95732783917113,45.836523455820284,5.179688719838425e-05,0.040584415584415584,24.325666783590812
39,scarce,99.9573280046759,45.83660183179372,5.1796077878344605e-05,0.040584415584415584,24.325666783590812
40,scarce,99.95732817018073,45.83668020763499,5.1795268570950494e-05,0.040584415584415584,24.325666783590812
41,scarce,99.95732833568563,45.8367585833441,5.1794459276201704e-05,0.040584415584415584,24.325666783590812
42,scarce,99.95732850119057,45.836836958921054,5.179364999409805e-05,0.040584415584415584,24.325666783590812
43,scarce,99.95732866669559,45.836915334365855,5.1792840724639335e-05,0.040584415584415584,24.325666783590812
44,scarce,99.95732883220066,45.836993709678495,5.1792031467825356e-05,0.040584415584415584,24.325666783590812
45,scarce,99.95732899770577,45.837072084858974,5.1791222223655905e-05,0.040584415584415584,24.325666783590812
46,scarce,99.95732916321096,45.83715045990729,5.179041299213081e-05,0.040584415584415584,24.325666783590812
47,scarce,99.9573293287162,45.83722883482346,5.178960377324984e-05,0.040584415584415584,24.325666783590812
48,scarce,99.95732949422147,45.83730720960747,5.1788794567012825e-05,0.040584415584415584,24.325666783590812
49,scarce,99.9573296597268,45.837385584259316,5.178798537341957e-05,0.040584415584415584,24.325666783590812
50,scarce,99.95732982523221,45.83746395877901,5.1787176192469845e-05,0.040584415584415584,24.325666783590812
51,scarce,99.95732999073768,45.837542333166546,5.178636702416349e-05,0.040584415584415584,24.325666783590812
52,scarce,99.95733015624317,45.83762070742193,5.178555786850029e-05,0.040584415584415584,24.325666783590812
53,scarce,99.95733032174876,45.837699081545146,5.178474872548003e-05,0.040584415584415584,24.325666783590812
54,scarce,99.95733048725438,45.83777745553622,5.1783939595102544e-05,0.040584415584415584,24.325666783590812
55,scarce,99.95733065276006,45.837855829395124,5.178313047736762e-05,0.040584415584415584,24.325666783590812
56,scarce,99.95733081826579,45.83793420312189,5.178232137227507e-05,0.040584415584415584,24.325666783590812
57,scarce,99.95733098377157,45.83801257671648,5.178151227982468e-05,0.040584415584415584,24.325666783590812
58,scarce,99.95733114927742,45.83809095017893,5.1780703200016265e-05,0.040584415584415584,24.325666783590812
59,scarce,99.95733131478333,45.83816932350922,5.177989413284962e-05,0.040584415584415584,24.325666783590812
60,scarce,99.9573314802893,45.83824769670736,5.177908507832455e-05,0.040584415584415584,24.325666783590812
61,scarce,99.9573316457953,45.838326069773345,5.177827603644087e-05,0.040584415584415584,24.325666783590812
62,scarce,99.95733181130139,45.83840444270717,5.1777467007198343e-05,0.040584415584415584,24.325666783590812
63,scarce,99.95733197680752,45.838482815508854,5.177665799059682e-05,0.040584415584415584,24.325666783590812
64,scarce,99.95733214231372,45.838561188178375,5.177584898663609e-05,0.040584415584415584,24.325666783590812
65,scarce,99.95733230781995,45.83863956071574,5.1775039995315936e-05,0.040584415584415584,24.325666783590812
66,scarce,99.95733247332626,45.83871793312096,5.1774231016636176e-05,0.040584415584415584,24.325666783590812
67,scarce,99.9573326388326,45.83879630539402,5.177342205059659e-05,0.040584415584415584,24.325666783590812
68,scarce,99.957332804339,45.83887467753493,5.1772613097197026e-05,0.040584415584415584,24.325666783590812
69,scarce,99.9573329698455,45.838953049543704,5.177180415643725e-05,0.040584415584415584,24.325666783590812
70,scarce,99.957333135352,45.83903142142031,5.1770995228317076e-05,0.040584415584415584,24.325666783590812
71,scarce,99.9573333008586,45.839109793164766,5.17701863128363e-05,0.040584415584415584,24.325666783590812
72,scarce,99.95733346636521,45.83918816477707,5.1769377409994734e-05,0.040584415584415584,24.325666783590812
73,scarce,99.95733363187192,45.83926653625722,5.176856851979218e-05,0.040584415584415584,24.325666783590812
74,scarce,99.95733379737865,45.83934490760523,5.176775964222844e-05,0.040584415584415584,24.325666783590812
75,scarce,99.95733396288547,45.83942327882109,5.176695077730331e-05,0.040584415584415584,24.325666783590812
76,scarce,99.95733412839232,45.83950164990479,5.1766141925016585e-05,0.040584415584415584,24.325666783590812
77,scarce,99.95733429389925,45.83958002085634,5.176533308536809e-05,0.040584415584415584,24.325666783590812
78,scarce,99.95733445940623,45.839658391675755,5.176452425835761e-05,0.040584415584415584,24.325666783590812
79,scarce,99.95733462491323,45.839736762363,5.176371544398496e-05,0.040584415584415584,24.325666783590812
80,scarce,99.95733479042033,45.83981513291811,5.176290664224992e-05,0.040584415584415584,24.325666783590812
81,scarce,99.95733495592746,45.83989350334107,5.176209785315232e-05,0.040584415584415584,24.325666783590812
82,scarce,99.95733512143467,45.83997187363188,5.176128907669195e-05,0.040584415584415584,24.325666783590812
83,scarce,99.95733528694191,45.84005024379053,5.176048031286862e-05,0.040584415584415584,24.325666783590812
84,scarce,99.95733545244924,45.84012861381706,5.175967156168212e-05,0.040584415584415584,24.325666783590812
85,scarce,99.9573356179566,45.84020698371142,5.1758862823132245e-05,0.040584415584415584,24.325666783590812
86,scarce,99.95733578346402,45.84028535347364,5.175805409721883e-05,0.040584415584415584,24.325666783590812
87,scarce,99.95733594897149,45.840363723103714,5.175724538394165e-05,0.040584415584415584,24.325666783590812
88,scarce,99.95733611447905,45.84044209260163,5.175643668330053e-05,0.040584415584415584,24.325666783590812
89,scarce,99.95733627998663,45.8405204619674,5.175562799529524e-05,0.040584415584415584,24.325666783590812
90,scarce,99.95733644549428,45.840598831201035,5.1754819319925604e-05,0.040584415584415584,24.325666783590812
91,scarce,99.95733661100199,45.84067720030252,5.175401065719144e-05,0.040584415584415584,24.325666783590812
92,scarce,99.95733677650972,45.84075556927186,5.1753202007092515e-05,0.040584415584415584,24.325666783590812
93,scarce,99.95733694201755,45.84083393810906,5.175239336962864e-05,0.040584415584415584,24.325666783590812
94,scarce,99.95733710752542,45.840912306814104,5.1751584744799646e-05,0.040584415584415584,24.325666783590812
95,scarce,99.95733727303335,45.840990675387005,5.175077613260532e-05,0.040584415584415584,24.325666783590812
96,scarce,99.95733743854133,45.841069043827765,5.174996753304546e-05,0.040584415584415584,24.325666783590812
97,scarce,99.95733760404939,45.84114741213637,5.1749158946119845e-05,0.040584415584415584,24.325666783590812
98,scarce,99.95733776955747,45.84122578031285,5.174835037182831e-05,0.040584415584415584,24.325666783590812
99,scarce,99.95733793506561,45.841304148357175,5.174754181017067e-05,0.040584415584415584,24.325666783590812
100,scarce,99.95733810057384,45.84138251626935,5.174673326114668e-05,0.040584415584415584,24.325666783590812
101,scarce,99.95733826608209,45.84146088404939,5.174592472475619e-05,0.040584415584415584,24.325666783590812
102,scarce,99.95733843159043,45.841539251697284,5.174511620099897e-05,0.040584415584415584,24.325666783590812
103,scarce,99.95733859709878,45.84161761921303,5.174430768987485e-05,0.040584415584415584,24.325666783590812
104,scarce,99.95733876260722,45.84169598659664,5.1743499191383605e-05,0.040584415584415584,24.325666783590812
105,scarce,99.95733892811572,45.84177435384811,5.1742690705525056e-05,0.040584415584415584,24.325666783590812
106,scarce,99.95733909362427,45.84185272096744,5.1741882232299e-05,0.040584415584415584,24.325666783590812
107,scarce,99.95733925913287,45.84193108795462,5.174107377170524e-05,0.040584415584415584,24.325666783590812
108,scarce,99.95733942464152,45.84200945480965,5.174026532374357e-05,0.040584415584415584,24.325666783590812
109,scarce,99.95733959015023,45.84208782153256,5.173945688841381e-05,0.040584415584415584,24.325666783590812
110,scarce,99.957339755659,45.84216618812331,5.173864846571574e-05,0.040584415584415584,24.325666783590812
111,scarce,99.95733992116782,45.84224455458193,5.1737840055649184e-05,0.040584415584415584,24.325666783590812
112,scarce,99.95734008667671,45.8423229209084,5.173703165821395e-05,0.040584415584415584,24.325666783590812
113,scarce,99.95734025218566,45.84240128710274,5.173622327340981e-05,0.040584415584415584,24.325666783590812
114,scarce,99.95734041769465,45.84247965316494,5.173541490123659e-05,0.040584415584415584,24.325666783590812
115,scarce,99.95734058320369,45.842558019094994,5.173460654169409e-05,0.040584415584415584,24.325666783590812
116,scarce,99.95734074871281,45.84263638489291,5.173379819478211e-05,0.040584415584415584,24.325666783590812
117,scarce,99.95734091422197,45.84271475055869,5.173298986050045e-05,0.040584415584415584,24.325666783590812
118,scarce,99.9573410797312,45.84279311609233,5.173218153884891e-05,0.040584415584415584,24.325666783590812
119,scarce,99.95734124524046,45.84287148149382,5.17313732298273e-05,0.040584415584415584,24.325666783590812
120,scarce,99.9573414107498,45.84294984676319,5.1730564933435414e-05,0.040584415584415584,24.325666783590812
121,scarce,99.95734157625917,45.84302821190042,5.1729756649673065e-05,0.040584415584415584,24.325666783590812
122,scarce,99.95734174176863,45.8431065769055,5.172894837854005e-05,0.040584415584415584,24.325666783590812
123,scarce,99.95734190727812,45.84318494177844,5.172814012003617e-05,0.040584415584415584,24.325666783590812
124,scarce,99.95734207278768,45.84326330651926,5.172733187416124e-05,0.040584415584415584,24.325666783590812
125,scarce,99.9573422382973,45.843341671127924,5.1726523640915045e-05,0.040584415584415584,24.325666783590812
126,scarce,99.95734240380695,45.84342003560447,5.1725715420297396e-05,0.040584415584415584,24.325666783590812
127,scarce,99.95734256931668,45.84349839994887,5.1724907212308086e-05,0.040584415584415584,24.325666783590812
128,scarce,99.95734273482645,45.84357676416113,5.172409901694695e-05,0.040584415584415584,24.325666783590812
129,scarce,99.9573429003363,45.843655128241245,5.172329083421375e-05,0.040584415584415584,24.325666783590812
130,scarce,99.95734306584619,45.84373349218925,5.1722482664108324e-05,0.040584415584415584,24.325666783590812
131,scarce,99.95734323135615,45.843811856005104,5.172167450663045e-05,0.040584415584415584,24.325666783590812
132,scarce,99.95734339686615,45.843890219688824,5.172086636177993e-05,0.040584415584415584,24.325666783590812
133,scarce,99.95734356237621,45.843968583240404,5.172005822955657e-05,0.040584415584415584,24.325666783590812
134,scarce,99.95734372788631,45.84404694665986,5.171925010996019e-05,0.040584415584415584,24.325666783590812
135,scarce,99.95734389339648,45.84412530994717,5.1718442002990586e-05,0.040584415584415584,24.325666783590812
136,scarce,99.95734405890671,45.84420367310235,5.1717633908647545e-05,0.040584415584415584,24.325666783590812
137,scarce,99.95734422441703,45.8442820361254,5.1716825826930864e-05,0.040584415584415584,24.325666783590812
138,scarce,99.95734438992734,45.84436039901631,5.171601775784038e-05,0.040584415584415584,24.325666783590812
139,scarce,99.95734455543774,45.844438761775095,5.171520970137589e-05,0.040584415584415584,24.325666783590812
140,scarce,99.9573447209482,45.84451712440174,5.171440165753715e-05,0.040584415584415584,24.325666783590812
141,scarce,99.95734488645873,45.844595486896246,5.1713593626324025e-05,0.040584415584415584,24.325666783590812
142,scarce,99.95734505196927,45.84467384925863,5.1712785607736276e-05,0.040584415584415584,24.325666783590812
143,scarce,99.95734521747988,45.844752211488874,5.171197760177371e-05,0.040584415584415584,24.325666783590812
144,scarce,99.95734538299057,45.844830573587,5.171116960843615e-05,0.040584415584415584,24.325666783590812
