step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,alert_count,grazing_count,travelling_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
0,scarce,110.8405123957773,71.62508012263135,11.577035597875573,0.551658925838973,3.1689211060976836,897.070377332595,0.8939394408421852,1,0,0,36,0,1.4892819389965715,0.8480317898671037,0.0,0.0511188070409485,100.0,46.00007820767078,0.0,0.0,24.325666783590812,161.0859452696419
1,scarce,111.65724259019458,71.92866790271695,11.959320456858654,0.5847393454945621,2.968001261602149,891.7479340636673,0.9621795578868155,1,0,0,36,0,1.4901147559598706,0.8460626636355477,0.0,0.05111889395114932,100.0,46.00015641520859,0.0,0.0,24.325666783590812,122.63146888231238
2,scarce,112.44139033675657,72.23654206649098,12.443428467338283,0.5650255204693191,2.8641619478349525,893.5238993855346,1.0239131580517153,2,0,0,36,0,1.490944375870727,0.8440926248220899,0.0,0.05111898086120239,100.0,46.000234622613455,0.0,0.0,24.325666783590812,166.50545194619016
3,scarce,113.25406157588944,72.58034466126153,12.951709488950325,0.5915136905733117,2.735628164638755,883.4429391309677,1.129443649929738,1,0,0,36,0,1.4917707759846925,0.8421216769685068,0.0,0.05111906777110768,100.0,46.00031282988534,0.0,0.0,24.325666783590812,126.9922858682959
4,scarce,114.11826964475985,72.89344283367979,13.424587915374008,0.6158251170144265,2.811913100831932,903.2230666961914,1.2271778424978692,2,0,0,36,0,1.4925939336455907,0.8401498236414967,0.0,0.051119154680865225,100.0,46.000391037024265,0.0,0.0,24.325666783590812,138.63197711105119
5,scarce,115.00012214963084,73.05682868194602,13.722226308587887,0.617573831030948,2.766699898724246,894.5618537580303,1.2821102042213903,2,0,1,35,0,1.4617549077237055,0.8382204487985563,0.00030555555555555555,0.05111700945177204,99.99988765300199,45.99846061822594,6.249902344512936e-07,0.0,24.325666783590812,167.5520576596406
6,scarce,115.86194219729678,73.31354641754287,13.968183549964417,0.6465150297250721,2.6248633385337277,857.3139711083422,1.3130896174399762,2,0,3,33,0,1.3992160956538657,0.8363769777600036,0.0009166666666666668,0.0511103999509904,99.99954116056439,45.992512952964,2.499951172409053e-06,0.0,24.325666783590812,144.47867592433042
7,scarce,116.67264529516407,73.68260597479055,14.28184180209045,0.6580173716909017,2.366040389087564,838.2268920866627,1.3299109185065932,2,0,4,32,0,1.3683080419632456,0.8345760611360661,0.0012222222222222222,0.05110155832499485,99.99899348940188,45.98455667403612,4.999873048782327e-06,0.0,24.325666783590812,129.37271314509502
8,scarce,117.33968835633944,73.96504532036442,14.720017138499246,0.5745647453354067,2.184811308127269,877.0917112949974,1.4118136215657786,2,0,5,31,0,1.3373719598232947,0.8328177297580387,0.0015277777777777776,0.05109048457897647,99.99824300900086,45.97459178611357,8.124746098632741e-06,0.0,24.325666783590812,145.28793837204344
9,scarce,117.99983627420202,74.22922226691168,15.058169490803927,0.5907104689777664,1.9979546775459127,880.4653972220331,1.4680088789654948,2,0,6,30,0,1.3064079824189743,0.8311020143107111,0.0018333333333333335,0.05107717871590564,99.99719346099319,45.962618291869305,1.1874560557174495e-05,0.0,24.325666783590812,135.85650684155047
10,scarce,118.6931512005813,74.57476501772712,15.097073423049007,0.7052350060990509,1.9360167219555946,892.5539087980142,1.5401619575954861,3,0,10,26,0,1.1802531217016634,0.8295185078533688,0.0015989991617752037,0.05106558472962868,99.99536267800202,45.952185257408004,1.5145004018269045e-05,0.0,24.325666783590812,120.03557111073104
11,scarce,119.30677390622019,74.97553394356133,15.120991262658988,0.6935411359235578,1.7804349760203,937.3093621309818,1.542552965460958,3,0,11,25,0,1.1491969508299336,0.8279671692653118,0.0015277877805680037,0.05105451097582739,99.99332421396714,45.942220362481876,1.826973901161952e-05,0.0,24.325666783590812,115.332761140041
12,scarce,119.7963342066478,75.27866007124963,15.160493516325447,0.6324450025967466,1.7263766096476063,962.0553504526761,1.5997006089373085,3,0,13,23,0,1.0863679230322747,0.8264971964780243,0.001965426001722929,0.05104024021365236,99.99080634183758,45.929378588306506,2.2289580283185404e-05,0.0,24.325666783590812,138.13219278332306
13,scarce,120.2591799422571,75.43196851569537,15.199472667759908,0.5631753341099924,1.5646461372547091,939.6035518674325,1.5079610701654103,4,0,14,22,0,1.0552450686234567,0.825066316489762,0.002138913829404263,0.0510247021147605,99.98816103521013,45.9153963808647,2.666421466626686e-05,0.0,24.325666783590812,137.5189310595772
14,scarce,120.79687180361026,75.55331741440122,15.084626250783721,0.6445910309697214,1.5073632588764803,900.1239194276932,1.4892023051547008,3,0,16,20,0,0.9923254165409252,0.823712276264525,0.00241134760564335,0.05100717385734062,99.98495209664483,45.89962329735919,3.159602289518628e-05,0.0,24.325666783590812,153.51659144023157
